Chengyu,Frequency,Chinese,Pinyin,English
TRUE,1,实事求是,shíshìqiúshì,Facts
TRUE,2,艰苦奋斗,jiānkǔ fèndòu,Hard work
TRUE,3,千方百计,qiānfāngbǎijì,Do everything possible
TRUE,4,全心全意,quánxīnquányì,whole-heartedly
TRUE,5,无论如何,wúlùn rúhé,anyway
TRUE,6,前所未有,qiánsuǒwèiyǒu,Ever
TRUE,7,坚定不移,jiāndìng bù yí,Unswerving
TRUE,8,引人注目,yǐn rén zhùmù,striking
TRUE,9,因地制宜,yīndìzhìyí,Local conditions
TRUE,10,自相矛盾,zì xiāng máodùn,Self-contradictory
TRUE,11,成千上万,chéng qiān shàng wàn,Thousands
TRUE,12,卓有成效,zhuóyǒuchéngxiào,fruitful
TRUE,13,当务之急,dāngwùzhījí,Urgent priority
TRUE,14,独立自主,dúlìzìzhǔ,Independent
TRUE,15,脱颖而出,tuōyǐng'érchū,stand out
TRUE,16,无可奈何,wúkěnàihé,Helpless
TRUE,17,莫名其妙,mòmíngqímiào,baffling
TRUE,18,自力更生,zìlìgēngshēng,Self-reliance
TRUE,19,一如既往,yīrújìwǎng,as always
TRUE,20,扑朔迷离,pūshuòmílí,confusing
TRUE,21,不可思议,bùkěsīyì,Inconceivable
TRUE,22,坚持不懈,jiānchí bùxiè,Unremitting
TRUE,23,供不应求,gōngbùyìngqiú,In short supply
TRUE,24,行之有效,xíng zhī yǒuxiào,Effective
TRUE,25,众所周知,zhòngsuǒzhōuzhī,As we all know
TRUE,26,全力以赴,quánlì yǐ fù,Go all out
TRUE,27,理所当然,lǐsuǒdāngrán,Of course
TRUE,28,四面八方,sìmiànbāfāng,in all directions
TRUE,29,兴致勃勃,xìngzhì bóbó,In high spirits
TRUE,30,一鸣惊人,yīmíngjīngrén,Blockbuster
TRUE,31,想方设法,xiǎngfāngshèfǎ,Trying to
TRUE,32,千家万户,qiānjiā wàn hù,Thousands of families
TRUE,33,举足轻重,jǔzúqīngzhòng,Important
TRUE,34,见义勇为,jiànyìyǒngwéi,Samaritan
TRUE,35,举世瞩目,jǔshì zhǔmù,Attract worldwide attention
TRUE,36,小心翼翼,xiǎoxīnyìyì,Carefully
TRUE,37,源远流长,yuányuǎnliúcháng,Has a long history
TRUE,38,弄虚作假,nòngxūzuòjiǎ,Fraud
TRUE,39,自言自语,zì yán zì yǔ,Soliloquize
TRUE,40,纸上谈兵,zhǐshàngtánbīng,On paper
TRUE,41,名副其实,míngfùqíshí,Veritable
TRUE,42,日新月异,rìxīnyuèyì,Each passing day
TRUE,43,得天独厚,détiāndúhòu,Blessed
TRUE,44,情不自禁,qíng bù zì jīn,Can not help
TRUE,45,不以为然,bùyǐwéirán,Take exception to
TRUE,46,络绎不绝,luòyì bù jué,An endless stream
TRUE,47,不约而同,bùyuē'értóng,Happen to coincide
TRUE,48,千千万万,qiān qiān wàn wàn,Tens of thousands
TRUE,49,齐心协力,qíxīn xiélì,Make concerted efforts
TRUE,50,卧薪尝胆,wòxīnchángdǎn,Revival
TRUE,51,大街小巷,dàjiē xiǎo xiàng,The streets
TRUE,52,不由自主,bùyóuzìzhǔ,involuntarily
TRUE,53,应运而生,yìngyùn ér shēng,Came into being
TRUE,54,形形色色,xíngxíngsèsè,all kinds
TRUE,55,名列前茅,mínglièqiánmáo,Top
TRUE,56,家喻户晓,jiāyùhùxiǎo,Household
TRUE,57,兴高采烈,xìnggāocǎiliè,Elated
TRUE,58,排忧解难,páiyōujiěnán,Solve problems
TRUE,59,自强不息,zìqiángbùxī,Self-improvement
TRUE,60,走马观花,zǒumǎ guān huā,Fly
TRUE,61,长治久安,chángzhìjiǔ'ān,Long-term stability
TRUE,62,安居乐业,ānjūlèyè,Live and work
TRUE,63,惊心动魄,jīngxīndòngpò,Soul-stirring
TRUE,64,脚踏实地,jiǎotàshídì,down to earth
TRUE,65,徇私舞弊,xúnsī wǔbì,Favoritism
TRUE,66,不知所措,bùzhī suǒ cuò,At a loss
TRUE,67,来之不易,lái zhī bùyì,Hard to come by
TRUE,68,发扬光大,fāyángguāngdà,Flourish
TRUE,69,顾全大局,gùquán dàjú,Overall situation
TRUE,70,八仙过海,bāxiānguòhǎi,Eight Immortals
TRUE,71,自然而然,zìrán'érrán,Automatically
TRUE,72,以身作则,yǐshēnzuòzé,Lead by example
TRUE,73,层出不穷,céngchūbùqióng,Emerge in endlessly
TRUE,74,轰轰烈烈,hōnghōnglièliè,vigorous
TRUE,75,息息相关,xīxīxiāngguān,Closely
TRUE,76,一丝不苟,yīsībùgǒu,Meticulous
TRUE,77,微不足道,wēibùzúdào,negligible
TRUE,78,刻不容缓,kèbùrónghuǎn,Pressing
TRUE,79,截然不同,jiérán bùtóng,Different
TRUE,80,愚公移山,yúgōngyíshān,Moving Mountains
TRUE,81,所作所为,suǒzuò suǒ wéi,Actions
TRUE,82,后顾之忧,hòugùzhīyōu,Worries
TRUE,83,德才兼备,dé cái jiānbèi,Both ability and integrity
TRUE,84,相辅相成,xiāngfǔxiāngchéng,Complementary
TRUE,85,讨价还价,tǎojiàhuánjià,bargain
TRUE,86,同心同德,tóngxīn tóng dé,Heart and one mind
TRUE,87,理直气壮,lǐ zhí qì zhuàng,Righteous
TRUE,88,身体力行,shēntǐlìxíng,Personally
TRUE,89,义不容辞,yìbùróngcí,Duty-bound
TRUE,90,画龙点睛,huàlóngdiǎnjīng,Finishing touch
TRUE,91,琳琅满目,línlángmǎnmù,Assortment
TRUE,92,耐人寻味,nàirénxúnwèi,Food for thought
TRUE,93,繁荣昌盛,fánróng chāngshèng,Prosperity
TRUE,94,难能可贵,nánnéngkěguì,Commendable
TRUE,95,一模一样,yīmúyīyàng,Exactly
TRUE,96,突飞猛进,tūfēiměngjìn,By leaps and bounds
TRUE,97,刮目相看,guāmùxiāngkàn,Admiration
