Frequency,Chinese,Pinyin,English,Length
1,好马不吃回头草,hǎo mǎ bù chī huítóu cǎo,Good Never look back,7
2,小菜一碟,xiǎocài yī dié,Piece of cake,4
3,太阳从西边出来,tàiyáng cóng xībian chūlái,Sun from the west,7
4,说曹操，曹操到,"shuō cáocāo, cáocāo dào",Said the devil to,7
5,乌鸦嘴,wūyā zuǐ,Big mouth,3
6,二百五,èrbǎiwǔ,Two hundred fifty,3
7,吃一堑，长一智,"chī yī qiàn, zhǎng yī zhì",learn from mistakes,7
8,睁着眼睛说瞎话,zhēng zhuó yǎnjīng shuō xiāhuà,The lie,7
9,近朱者赤，近墨者黑,"jìn zhū zhě chì, jìn mò zhě hēi","She knows nothing, doubts nothing",9
10,物以稀为贵,wù yǐ xī wéi guì,Suddenly,5
11,王婆卖瓜，自卖自夸,"wáng pó mài guā, zìmàizìkuā",self boasting,9
12,站着说话不腰疼,zhànzhe shuōhuà bù yāoténg,Easier said than done,7
13,天下没有不散的筵席,tiānxià méiyǒu bú sàn de yánxí,There is no never-ending feast,9
14,天上掉馅饼,tiānshàngdiào xiàn bǐng,Beautiful day,5
15,己所不欲，勿施于人,"jǐ suǒ bù yù, wù shī yú rén","Do unto others, do not impose on others",9
16,睁眼瞎,zhēng yǎn xiā,Illiterate,3
17,跳进黄河洗不清,tiào jìn huánghé xǐ bù qīng,Jumped into the Yellow River Xibu Qing,7
18,拍马屁,pāimǎpì,Bootlick,3
19,情人眼里出西施,qíngrén yǎn lǐ chū xīshī,Beauty is in the eyes of beholder,7
20,打酱油,dǎ jiàngyóu,Soy sauce,3
21,不怕一万，就怕万一,"bùpà yī wàn, jiù pà wàn yī","Afraid of ten thousand, afraid of the event",9
22,走着瞧,zǒuzhe qiáo,Wait and see,3
23,不管三七二十一,bùguǎn sānqī'èrshíyī,No matter whether it is 2721,7
24,吃着碗里的，看着锅里的,"chīzhe wǎn lǐ de, kànzhe guō lǐ de","Eating a bowl, watching the pot",11
25,钻牛角尖,zuānniújiǎojiān,Dead end,4
26,人不可貌相，海水不可斗量,"rén bùkě màoxiàng, hǎishuǐ bùkě dǒu liàng",do not judge a book by it's cover,12
27,林子大了，什么鸟都有,"línzi dàle, shénme niǎo dōu yǒu","Big woods, what birds are",10
28,鸡毛蒜皮,jīmáosuànpí,Trivia,4
29,鲜花插在牛粪上,xiānhuā chā zài niú fèn shàng,Flowers inserted in cow dung,7
30,醉翁之意不在酒,zuì wēng zhī yì bùzài jiǔ,Ulterior motives,7
31,猴年马月,hóuniánmǎyuè,These years,4
32,眼不见为净,yǎn bùjiàn wéi jìng,Sight of the net,5
33,姜是老的辣,jiāng shì lǎo de là,Ginger is the old lady,5
34,留得青山在，不怕没柴烧,"liú dé qīngshān zài, bùpà méi chái shāo","Where there is life, there is hope",11
35,拿得起，放得下,"ná dé qǐ, fàng dé xià","Get affordable, fit",7
36,以其人之道还治其人之身,yǐ qí rén zhī dào huán zhì qí rén zhī shēn,Eye for an eye person in his body,11
37,走桃花运,zǒu táohuāyùn,Go peach blossom,4
38,成事不足，败事有余,"chéngshì bùzú, bài shì yǒuyú",Incompetent bungler,9
39,皇上不急太监急,huángshàng bù jí tàijiàn jí,The emperor is not urgent eunuch urgent,7
40,三个臭皮匠，顶个诸葛亮,"sān gè chòu píjiàng, dǐng gè zhūgéliàng","Three Stooges, the top one Zhuge Liang",11
41,脚踩两只船,jiǎo cǎi liǎng zhī chuán,It both ways,5
42,此地无银三百两,cǐdì wú yín sānbǎi liǎng,Admitting their guilt,7
43,吃不到葡萄就说葡萄酸,chī bù dào pútáo jiù shuō pútáo suān,Not eat sour grapes,10
44,心急吃不了热豆腐,xīnjí chī bùliǎo rè dòufu,More haste less speed,8
45,家常便饭,Jiāchángbiànfàn,Common Meal,
46,癞蛤蟆想吃天鹅肉,làihámá xiǎng chī tiān'é ròu,Toad wants to eat,8
47,天无绝人之路,tiān wú jué rén zhī lù,There is always a way out,6
48,走后门,zǒuhòumén,Through the back door,3
49,瞎猫碰上死耗子,xiā māo pèng shàng sǐ hàozi,Blind cat run into dead rat,7
50,好汉不吃眼前亏,hǎohàn bù chī yǎnqiánkuī,Heroes do not eat immediate loss,7
51,解铃还须系铃人,jiě líng hái xū xì líng rén,The trouble should end it,7
52,肥水不流外人田,féishuǐ bù liú wàirén tián,Charity begins at Tian,7
53,心有余而力不足,xīn yǒuyú ér lì bùzú,Beyond their grasp,7
54,不分青红皂白,bù fēn qīnghóngzàobái,without understanding,6
55,睁一只眼，闭一只眼,"zhēng yī zhī yǎn, bì yī zhī yǎn","An eye, close one eye",9
56,破罐子破摔,pò guànzi pò shuāi,Breaking the jar,5
57,种瓜得瓜，种豆得豆,"zhǒng guā dé guā, zhǒng dòu dé dòu",you get what you sow,9
58,萝卜白菜，各有所爱,"luóbo báicài, gè yǒu suǒ ài",one's man meat is another man's poison,9
59,狗嘴里吐不出象牙,gǒu zuǐ lǐ tǔ bu chū xiàngyá,Dogs bark,8
60,三天打鱼，两天晒网,"sān tiān dǎ yú, liǎng tiān shài wǎng","Three days fishing, two days of drying",9
61,一朝被蛇咬，十年怕井绳,"yī zhāo bèi shé yǎo, shí nián pà jǐng shéng","Once bitten, twice shy",11
62,英雄难过美人关,yīngxióng nánguò měirén guān,Hero becomes a prisoner,7
63,刀子嘴，豆腐心,"dāozizuǐ, dòufu xīn","Sharp tongue, a soft heart",7
64,一失足成千古恨,yī shīzú chéng qiāngǔ hèn,Without fire,7
65,哪壶不开提哪壶,nǎ hú bù kāi tí nǎ hú,Tender the tender spot,7
66,炒鱿鱼,chǎoyóuyú,Fired,3
67,人往高处走，水往低处流,"rén wǎng gāo chù zǒu, shuǐ wǎng dī chù liú","Water flows to lower place, man goes to higher position",11
68,说得比唱得好听,shuō dé bǐ chàng dé hǎotīng,He said than sing nicely,7
69,强扭的瓜不甜,qiáng niǔ de guā bù tián,A horse is not sweet,6
70,老掉牙,lǎodiàoyá,Old-fashioned,3
71,搬起石头砸自己的脚,bān qǐ shítou zá zìjǐ de jiǎo,Shooting itself in the foot,9
72,卖关子,màiguānzi,Guessing,3
73,一分钱一分货,yī fēn qián yī fēn huò,you get what you pay for,6
74,九牛二虎之力,jiǔ niú èr hǔ zhī lì,To great lengths,6
75,敬酒不吃吃罚酒,jìngjiǔ bù chī chī fá jiǔ,Toast Monastic,7
76,躲得过初一，躲不过十五,"duǒ déguò chū yī, duǒ bùguò shíwǔ","Avoid them the first day, become obvious to fifteen",11
77,吃香的，喝辣的,"chīxiāng de, hē là de","Popular to drink hot,",7
78,小儿科,xiǎo'érkē,Pediatrics,3
79,一个巴掌拍不响,yīgè bāzhang pāi bù xiǎng,A tango,7
80,牛头不对马嘴,niútóu bùduì mǎ zuǐ,Incongruous,6
81,以小人之心，度君子之腹,"yǐ xiǎo rén zhī xīn, dù jūnzǐ zhī fù",Belly sinister heart of a gentleman,11
82,车到山前必有路,chē dào shān qián bì yǒu lù,Car to Piedmont Road,7
83,鸡蛋里挑骨头,jīdàn li tiāo gú tóu,Nitpick,6
84,吃不了兜着走,chī bùliǎo dōuzhe zǒu,Steal sheep,6
85,打肿脸充胖子,dǎ zhǒng liǎn chōng pàngzi,Hat and no cattle,6
86,三十六计走为上,sānshíliù jì zǒu wéi shàng,Thirty-Six to go on,7
87,当耳旁风,dàng ěrpángfēng,When heeded,4
88,恨铁不成钢,hèn tiě bùchéng gāng,Turn iron into steel,5
89,你走你的阳关道，我过我的独木桥,"nǐ zǒu nǐ de yángguāndào, wǒguò wǒ de dú mù qiáo",You go your way and I to my single-plank bridge,15
90,过了这个村，就没这个店,"guò le zhège cūn, jiù méi zhège diàn","After this village, no this shop",11
91,抱佛脚,bàofójiǎo,Cramming,3
92,有钱能使鬼推磨,yǒu qián néng shǐ guǐ tuī mó,Money talks,7
93,有其父必有其子,yǒu qí fù bì yǒu qí zi,Like father like son,7
94,不见棺材不落泪,bùjiàn guāncai bù luò lèi,Does it cry,7
95,三长两短,sānchángliǎngduǎn,If something happens,4
96,纸包不住火,zhǐ bāo bù zhù huǒ,Murder,5
97,好戏在后头,hǎo xì zài hòutou,Good in the first,5
98,吹牛皮,chuī niúpí,Boast,3
99,欲速则不达,yù sù zé bù dá,Haste makes waste,5
100,家家有本难念的经,jiā jiā yǒu běn nán niàn de jīng,Every family has its cupboard,8
101,墙头草,qiángtóu cǎo,Fence,3
102,替罪羊,tìzuìyáng,scapegoat,3
103,近水楼台先得月,jìnshuǐlóutái xiān dé yuè,Tun,7
104,小巫见大巫,xiǎowū jiàn dàwū,Pale into insignificance,5
105,过河拆桥,guòhéchāiqiáo,Burning bridges,4
106,一不做，二不休,"yībù zuò, èr bùxiū","In for a penny, in for a pound",7
