Frequency,Chinese,Pinyin,English,Length
1,实事求是,shíshìqiúshì,Facts,4
2,艰苦奋斗,jiānkǔ fèndòu,Hard work,4
3,千方百计,qiānfāngbǎijì,Do everything possible,4
4,全心全意,quánxīnquányì,whole-heartedly,4
5,无论如何,wúlùn rúhé,anyway,4
6,前所未有,qiánsuǒwèiyǒu,Ever,4
7,坚定不移,jiāndìng bù yí,Unswerving,4
8,引人注目,yǐn rén zhùmù,striking,4
9,因地制宜,yīndìzhìyí,Local conditions,4
10,自相矛盾,zì xiāng máodùn,Self-contradictory,4
11,成千上万,chéng qiān shàng wàn,Thousands,4
12,卓有成效,zhuóyǒuchéngxiào,fruitful,4
13,当务之急,dāngwùzhījí,Urgent priority,4
14,独立自主,dúlìzìzhǔ,Independent,4
15,脱颖而出,tuōyǐng'érchū,stand out,4
16,无可奈何,wúkěnàihé,Helpless,4
17,莫名其妙,mòmíngqímiào,baffling,4
18,自力更生,zìlìgēngshēng,Self-reliance,4
19,一如既往,yīrújìwǎng,as always,4
20,扑朔迷离,pūshuòmílí,confusing,4
21,不可思议,bùkěsīyì,Inconceivable,4
22,坚持不懈,jiānchí bùxiè,Unremitting,4
23,供不应求,gōngbùyìngqiú,In short supply,4
24,行之有效,xíng zhī yǒuxiào,Effective,4
25,众所周知,zhòngsuǒzhōuzhī,As we all know,4
26,全力以赴,quánlì yǐ fù,Go all out,4
27,理所当然,lǐsuǒdāngrán,Of course,4
28,四面八方,sìmiànbāfāng,in all directions,4
29,兴致勃勃,xìngzhì bóbó,In high spirits,4
30,一鸣惊人,yīmíngjīngrén,Blockbuster,4
31,想方设法,xiǎngfāngshèfǎ,Trying to,4
32,千家万户,qiānjiā wàn hù,Thousands of families,4
33,举足轻重,jǔzúqīngzhòng,Important,4
34,见义勇为,jiànyìyǒngwéi,Samaritan,4
35,举世瞩目,jǔshì zhǔmù,Attract worldwide attention,4
36,小心翼翼,xiǎoxīnyìyì,Carefully,4
37,源远流长,yuányuǎnliúcháng,Has a long history,4
38,弄虚作假,nòngxūzuòjiǎ,Fraud,4
39,自言自语,zì yán zì yǔ,Soliloquize,4
40,纸上谈兵,zhǐshàngtánbīng,On paper,4
41,名副其实,míngfùqíshí,Veritable,4
42,日新月异,rìxīnyuèyì,Each passing day,4
43,得天独厚,détiāndúhòu,Blessed,4
44,情不自禁,qíng bù zì jīn,Can not help,4
45,不以为然,bùyǐwéirán,Take exception to,4
46,络绎不绝,luòyì bù jué,An endless stream,4
47,不约而同,bùyuē'értóng,Happen to coincide,4
48,千千万万,qiān qiān wàn wàn,Tens of thousands,4
49,齐心协力,qíxīn xiélì,Make concerted efforts,4
50,卧薪尝胆,wòxīnchángdǎn,Revival,4
51,大街小巷,dàjiē xiǎo xiàng,The streets,4
52,不由自主,bùyóuzìzhǔ,involuntarily,4
53,应运而生,yìngyùn ér shēng,Came into being,4
54,形形色色,xíngxíngsèsè,all kinds,4
55,名列前茅,mínglièqiánmáo,Top,4
56,家喻户晓,jiāyùhùxiǎo,Household,4
57,兴高采烈,xìnggāocǎiliè,Elated,4
58,排忧解难,páiyōujiěnán,Solve problems,4
59,自强不息,zìqiángbùxī,Self-improvement,4
60,走马观花,zǒumǎ guān huā,Fly,4
61,长治久安,chángzhìjiǔ'ān,Long-term stability,4
62,安居乐业,ānjūlèyè,Live and work,4
63,惊心动魄,jīngxīndòngpò,Soul-stirring,4
64,脚踏实地,jiǎotàshídì,down to earth,4
65,徇私舞弊,xúnsī wǔbì,Favoritism,4
66,不知所措,bùzhī suǒ cuò,At a loss,4
67,来之不易,lái zhī bùyì,Hard to come by,4
68,发扬光大,fāyángguāngdà,Flourish,4
69,顾全大局,gùquán dàjú,Overall situation,4
70,八仙过海,bāxiānguòhǎi,Eight Immortals,4
71,自然而然,zìrán'érrán,Automatically,4
72,以身作则,yǐshēnzuòzé,Lead by example,4
73,层出不穷,céngchūbùqióng,Emerge in endlessly,4
74,轰轰烈烈,hōnghōnglièliè,vigorous,4
75,息息相关,xīxīxiāngguān,Closely,4
76,一丝不苟,yīsībùgǒu,Meticulous,4
77,微不足道,wēibùzúdào,negligible,4
78,刻不容缓,kèbùrónghuǎn,Pressing,4
79,截然不同,jiérán bùtóng,Different,4
80,愚公移山,yúgōngyíshān,Moving Mountains,4
81,所作所为,suǒzuò suǒ wéi,Actions,4
82,后顾之忧,hòugùzhīyōu,Worries,4
83,德才兼备,dé cái jiānbèi,Both ability and integrity,4
84,相辅相成,xiāngfǔxiāngchéng,Complementary,4
85,讨价还价,tǎojiàhuánjià,bargain,4
86,同心同德,tóngxīn tóng dé,Heart and one mind,4
87,理直气壮,lǐ zhí qì zhuàng,Righteous,4
88,身体力行,shēntǐlìxíng,Personally,4
89,义不容辞,yìbùróngcí,Duty-bound,4
90,画龙点睛,huàlóngdiǎnjīng,Finishing touch,4
91,琳琅满目,línlángmǎnmù,Assortment,4
92,耐人寻味,nàirénxúnwèi,Food for thought,4
93,繁荣昌盛,fánróng chāngshèng,Prosperity,4
94,难能可贵,nánnéngkěguì,Commendable,4
